Brand,Address,City,State,Postal Code,Date,Time
Sonic Drive-In,2001 State Hwy 66 ,Garland,TX, 75040,2019-02-21,19:34:08
Sonic Drive-In,3327 Broadway Boulevard ,Garland,TX, 75043,2019-02-21,19:34:08
Sonic Drive-In,3901 Forest Lane ,Garland,TX, 75042,2019-02-21,19:34:08
Sonic Drive-In,5020 N Garland Ave ,Garland,TX, 75040,2019-02-21,19:34:08
Sonic Drive-In,6130 N Jupiter Rd ,Garland,TX, 75044,2019-02-21,19:34:08
Sonic Drive-In,6202 Broadway Blvd. ,Garland,TX, 75043,2019-02-21,19:34:08
Sonic Drive-In,625 Town Square Boulevard ,Garland,TX, 75040,2019-02-21,19:34:08
Sonic Drive-In,1910 Main Street ,Gatesville,TX, 76528,2019-02-21,19:33:51
Sonic Drive-In,805 North Nueces ,George West,TX, 78022,2019-02-21,19:33:39
Sonic Drive-In,3207 Williams Drive ,Georgetown,TX, 78626,2019-02-21,19:34:08
Sonic Drive-In,406 N. Austin Avenue ,Georgetown,TX, 78626,2019-02-21,19:34:08
Sonic Drive-In,1254 E. Austin ,Giddings,TX, 78942,2019-02-21,19:34:09
Sonic Drive-In,909 N. Wood ,Gilmer,TX, 75644,2019-02-21,19:34:09
Sonic Drive-In,1103 E Broadway ,Gladewater,TX, 75647,2019-02-21,19:34:09
Sonic Drive-In,1610 N.e. Big Bend Trail ,Glen Rose,TX, 76043,2019-02-21,19:33:29
Sonic Drive-In,1701 South Beckley Road ,Glenn Heights,TX, 75154,2019-02-21,19:34:10
Sonic Drive-In,201 E. Ovilla Road ,Glenn Heights,TX, 75154,2019-02-21,19:34:10
Sonic Drive-In,1803 N. St. Joseph ,Gonzales,TX, 78629,2019-02-21,19:34:10
Sonic Drive-In,1217 Highway 16 South ,Graham,TX, 76450,2019-02-21,19:33:42
Sonic Drive-In,1155 Highway 377 East ,Granbury,TX, 76048,2019-02-21,19:33:29
Sonic Drive-In,210 West Pioneer ,Grand Prairie,TX, 75051,2019-02-21,19:34:10
Sonic Drive-In,2650 North Highway 360 ,Grand Prairie,TX, 75050,2019-02-21,19:34:04
Sonic Drive-In,2864 W. Camp Wisdom Road ,Grand Prairie,TX, 75052,2019-02-21,19:34:10
Sonic Drive-In,2991 S Highway 360 ,Grand Prairie,TX, 75052,2019-02-21,19:34:10
Sonic Drive-In,3738 S. Carrier Parkway ,Grand Prairie,TX, 75052,2019-02-21,19:34:10
Sonic Drive-In,402 W. Main ,Grand Prairie,TX, 75050,2019-02-21,19:34:10
Sonic Drive-In,4050 S Great Sw Parkway ,Grand Prairie,TX, 75052,2019-02-21,19:34:10
Sonic Drive-In,1021 West Frank ,Grand Saline,TX, 75140,2019-02-21,19:33:45
Sonic Drive-In,201 West Nw Highway ,Grapevine,TX, 76051,2019-02-21,19:34:11
Sonic Drive-In,2240 Hall - Johnson Road ,Grapevine,TX, 76051,2019-02-21,19:34:04
Sonic Drive-In,3000 Grapevine Mills Pkwy #fc7 ,Grapevine,TX, 76051,2019-02-21,19:33:53
Sonic Drive-In,6219 Wesley Street ,Greenville,TX, 75402,2019-02-21,19:33:52
Sonic Drive-In,303 N. Ellis ,Groesbeck,TX, 76642,2019-02-21,19:33:44
Sonic Drive-In,330 N. Gun Barrel Lane ,Gun Barrel,TX, 75147,2019-02-21,19:33:33
Sonic Drive-In,925 N. 8th Street ,Gunter,TX, 75058,2019-02-21,19:34:12
Sonic Drive-In,1624 N. Texana Street ,Hallettsville,TX, 77964,2019-02-21,19:33:52
Sonic Drive-In,306 W Main ,Hallsville,TX, 75650,2019-02-21,19:34:12
Sonic Drive-In,3424 Denton Highway ,Haltom City,TX, 76117,2019-02-21,19:34:12
Sonic Drive-In,6280 North Beach Street ,Haltom City,TX, 76137,2019-02-21,19:34:12
Sonic Drive-In,701 E Main Street ,Hamilton,TX, 76531,2019-02-21,19:34:12
Sonic Drive-In,704 Indian Trail ,Harker Heights,TX, 76548,2019-02-21,19:34:13
Sonic Drive-In,1302 Morgan Boulevard ,Harlingen,TX, 78550,2019-02-21,19:33:43
Sonic Drive-In,509 Ed Carey Drive ,Harlingen,TX, 78550,2019-02-21,19:33:43
Sonic Drive-In,1402 N. E Avenue ,Haskell,TX, 79521,2019-02-21,19:34:13
Sonic Drive-In,13250 Highway 287 & 81 ,Haslet,TX, 76052,2019-02-21,19:33:34
Sonic Drive-In,470 Fm 156 South ,Haslet,TX, 76052,2019-02-21,19:34:13
Sonic Drive-In,317 N Beaulah Street ,Hawkins,TX, 75765,2019-02-21,19:34:13
Sonic Drive-In,207 N. Market Street ,Hearne,TX, 77859,2019-02-21,19:33:45
Sonic Drive-In,12405 Bandera Road ,Helotes,TX, 78023,2019-02-21,19:33:40
Sonic Drive-In,2045 Fm 1488 ,Hempstead,TX, 77445,2019-02-21,19:33:39
Sonic Drive-In,2128 Us Highway 79 ,Henderson,TX, 75654,2019-02-21,19:34:14
Sonic Drive-In,500 Highway 79 N. ,Henderson,TX, 75652,2019-02-21,19:33:47
Sonic Drive-In,402 E. Omega ,Henrietta,TX, 76365,2019-02-21,19:33:41
Sonic Drive-In,305 N. 25 Mile Avenue ,Hereford,TX, 79045,2019-02-21,19:34:00
Sonic Drive-In,4150 Teasley Lane ,Hickory Creek,TX, 75065,2019-02-21,19:34:14
Sonic Drive-In,205 West Second Street ,Hico,TX, 76457,2019-02-21,19:34:00
Sonic Drive-In,223 Main Street ,Highlands,TX, 77562,2019-02-21,19:33:55
Sonic Drive-In,1322 Corsicana Highway ,Hillsboro,TX, 76645,2019-02-21,19:34:15
Sonic Drive-In,32202 Hempstead Highway Bldg B ,Hockley,TX, 77447,2019-02-21,19:34:14
Sonic Drive-In,705 19th Street ,Hondo,TX, 78861,2019-02-21,19:33:59
